11.857655230769241,44.279831230769275,Castel San Pietro Terme-Meldola,35
15.281002250000013,41.012430583333376,Mirabella Eclano-Monteverde,190
15.327194187500012,37.844356750000038,Patti-Giardini,230
9.914632812500010,45.429175625000042,Western S-Alps external thrust deep,205
15.861936466666679,40.961376400000042,Rapolla-Spinazzola,180
15.817750272727288,37.365778272727312,Artemide,210
15.363857500000016,40.866234000000041,Conza della Campania-Tolve,35
15.520957888888905,37.448618555555591,Aretusa,215
17.856185125000017,42.545324937500048,Mljet,215
16.334913500000017,40.660631500000036,Baragiano-Palagianello,0
10.453028400000012,43.505273200000047,Livorno Hills,250
14.210729000000015,46.375260733333370,Jesenice,210
13.647617937500016,37.201555000000027,Sciacca-Gela,200
15.164908333333347,41.691054500000043,Ripabottoni-San Severo,170
16.872098000000012,42.515119333333374,Eastern Adriatic offshore - South,210
15.963310500000015,41.271136000000041,Castelluccio dei Sauri-Trani,180
15.288606166666678,44.534309666666701,Velebit,215
10.300740461538471,44.854646846153891,Busseto-Cavriago,40
19.501534062500021,40.205503000000043,Sazani,225
16.687445625000016,43.143883125000038,Hvar,195
19.400091529411785,41.240928588235334,Lushnje,235
17.082907071428590,43.491246071428613,Imotski,215
11.745059363636374,45.734543181818225,Thiene-Cornuda,153
15.412680294117660,43.737602235294155,Dugi Otok,215
13.544896333333346,43.590067600000040,Conero onshore,45
17.528543266666684,43.125311600000039,Metkovic,205
14.560588428571444,45.277842214285741,Vinodol - Rijeka,228
16.677039133333349,42.921417933333373,Vis-Korcula,190
19.076736428571447,40.778699285714318,Albania offshore,235
14.147283428571445,41.474286571428614,Venafro,35
15.947671800000014,38.379583600000032,Gioia Tauro,-60
16.179139545454561,38.437544272727315,Nicotera-Roccella Ionica,30
16.238016600000016,39.164944300000045,Savuto Valley,-70
16.527802705882365,41.643870117647097,Shallow Gondola Fault Zone,185
10.398796090909100,45.088118727272771,Piadena,40
13.767735384615397,46.211757153846193,Bovec-Tolminka Springs,220
13.855354000000013,42.507026000000039,Campotosto Lake-Montesilvano,0
10.115623166666676,45.470450833333381,Capriano-Castenedolo back-thrust,-5
16.119738538461554,38.833280384615421,Sant'Eufemia,-60
10.913034600000010,45.679594600000051,Monte Baldo,135
9.597720294117654,45.387840058823571,Western S-Alps external thrust shallow-west,188
14.080634789473695,45.674572210526357,Branik-Ilirska Bistrica,233
14.228438529411777,42.088637411764736,Deep Abruzzo Citeriore Basal Thrust,45
10.135579833333344,45.318199083333376,Western S-Alps external thrust shallow-east,175
13.631531916666679,45.964130416666706,Cividale-Nova Gorica,228
20.145249312500020,38.105567062500043,Kephallonia,-60
14.313013909090923,42.224468636363675,Shallow Abruzzo Citeriore Basal Thrust,40
10.597477166666676,45.491429666666704,Sirmione,158
13.906055523809538,46.056785619047666,Tolmin-Idrija,220
19.785366142857161,39.156047571428608,Kerkyra offshore,225
10.992198769230781,45.207695153846203,Adige Plain,160
10.767669166666677,45.449108750000050,Solferino,153
13.516061666666680,46.258202833333371,Stol,203
20.008673250000019,39.345436812500040,Kerkyra,225
14.510608000000012,41.632275555555594,Pescolanciano-Montagano,180
12.681710750000015,37.409435875000035,Campobello offshore,120
20.607126333333348,38.912174600000043,Lefkada,-80
16.055747615384632,36.736760538461574,Lanassa,245
12.745727333333347,37.598835555555596,Castelvetrano-Capo Granitola,125
16.563219187500017,41.658003062500043,Deep Gondola Fault Zone,5
12.825772000000015,46.192677375000045,Andreis-Forgaria nel Friuli,158
13.797777312500013,42.886914562500046,Southern Marche,68
7.541226375000010,44.993995812500046,Western Piemonte,-28
14.564189937500014,41.358927750000021,Miranda-Apice,225
12.875345500000012,37.716347428571467,Mazara-Belice,165
8.035542750000008,43.680635375000051,Imperia Promontory,135
11.879417142857152,43.873694178571483,Bore-Montefeltro-Fabriano-Laga,35
13.076202500000010,42.888056285714320,Colfiorito-Campotosto,50
15.436276823529431,43.043841470588283,Eastern Adriatic offshore - Central,210
13.562572916666680,42.045858750000043,Salto Lake-Ovindoli-Barrea,50
19.346558666666684,40.859508066666699,Seman Coastal,250
14.111244714285728,43.845389357142899,Eastern Adriatic offshore - North,210
9.812850538461548,44.337882153846195,Lunigiana,230
14.867832277777795,37.412996166666709,Gela-Catania,153
14.538389062500013,45.031309125000050,Krk,240
14.012127818181831,45.399383727272770,Lupoglav,230
18.943672200000016,41.927620000000040,Montenegro offshore,210
18.954818176470603,42.075149000000046,Budva offshore,220
16.722213866666685,36.952580733333370,Calabria offshore S,140
14.230890900000015,45.647404200000047,Pivka,240
16.591213200000016,37.037324066666699,Calabria offshore SW,140
11.969234333333343,44.657513666666702,Malalbergo-Ravenna,28
13.656639500000013,42.191874857142899,Borbona-L'Aquila-Aremogna,50
9.836869437500010,45.559429062500037,Western S-Alps internal thrust,190
16.433415411764724,43.923941235294159,Ravni Kotari,225
12.082807000000011,44.361866062500042,Ascensione-Armaia,35
18.025412875000018,37.623986687500043,Calabria offshore NE,130
13.950675727272740,45.851943454545498,Vipava,240
15.831087666666683,43.781226600000053,Zadar,205
15.521864307692324,38.111702461538499,Aspromonte-Peloritani,-60
17.496302411764724,37.953449941176515,Calabria offshore NW,125
14.724631000000015,36.874559181818213,Scicli-Giarratana,-70
16.598015117647073,42.164940941176511,Palagruza,223
13.046005736842117,38.628899631578989,Southern Tyrrhenian,-20
15.845343352941192,43.921429176470632,Benkovac,228
16.283022444444459,39.450106666666706,Crati Valley,90
18.086643000000020,42.672912611111158,Peljesac-Kotor,210
15.938875400000018,43.967663133333382,Novigrad,228
